date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
,Siskiyou,County,43956.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Solano,County,444255.0,5.0,5.0,0.0,0.0,40.0,40.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Sonoma,County,496668.0,4.0,4.0,0.0,0.0,112.0,112.0,4.0,4.0,0.0,0.0,0.0,0.0,,
,Stanislaus,County,562303.0,1.0,1.0,0.0,0.0,13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Sutter,County,105747.0,3.0,3.0,0.0,0.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,,
,Tehama,County,65885.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,
,Trinity,County,13354.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Tulare,County,484423.0,0.0,0.0,0.0,0.0,5665.0,5665.0,812.0,812.0,0.0,0.0,0.0,0.0,,
,Tuolumne,County,52351.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Unknown,County,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,
,Ventura,County,852747.0,3.0,3.0,0.0,0.0,946.0,946.0,16.0,16.0,0.0,0.0,0.0,0.0,,
,Yolo,County,223612.0,2.0,2.0,1.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,,
,Yuba,County,79290.0,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,
2021-03-17,Alameda,County,1685886.0,0.0,82353.0,0.0,1185.0,,2117597.0,,95780.0,94.0,82353.0,8.0,1185.0,2598.0,1494807.0
2021-03-17,Alpine,County,1117.0,0.0,82.0,0.0,0.0,,1842.0,,30.0,0.0,82.0,0.0,0.0,0.0,736.0
2021-03-17,Amador,County,38531.0,0.0,3511.0,0.0,44.0,,97140.0,,4016.0,1.0,3511.0,0.0,44.0,64.0,32194.0
2021-03-17,Butte,County,217769.0,0.0,11170.0,0.0,185.0,,188904.0,,11758.0,16.0,11170.0,1.0,185.0,217.0,153362.0
2021-03-17,Calaveras,County,44289.0,0.0,1946.0,0.0,49.0,,35309.0,,2189.0,1.0,1946.0,0.0,49.0,79.0,24485.0
2021-03-17,California,State,40129160.0,0.0,3535534.0,0.0,55795.0,,51601716.0,,4211742.0,3038.0,3535534.0,218.0,55795.0,109227.0,50796830.0
2021-03-17,Colusa,County,22593.0,0.0,1882.0,0.0,12.0,,15242.0,,1737.0,0.0,1882.0,0.0,12.0,19.0,13694.0
2021-03-17,Contra Costa,County,1160099.0,0.0,64026.0,0.0,737.0,,1279430.0,,70694.0,75.0,64026.0,1.0,737.0,1719.0,991870.0
2021-03-17,Del Norte,County,27558.0,0.0,1053.0,0.0,6.0,,67955.0,,1147.0,5.0,1053.0,0.0,6.0,70.0,24314.0
2021-03-17,El Dorado,County,193098.0,0.0,9252.0,0.0,105.0,,147891.0,,9085.0,3.0,9252.0,0.0,105.0,287.0,128239.0
2021-03-17,Fresno,County,1032227.0,0.0,97727.0,0.0,1507.0,,1034879.0,,114357.0,89.0,97727.0,9.0,1507.0,2017.0,821082.0
2021-03-17,Glenn,County,29348.0,0.0,2269.0,0.0,17.0,,21505.0,,2327.0,2.0,2269.0,0.0,17.0,17.0,16401.0
2021-03-17,Humboldt,County,134098.0,0.0,3365.0,0.0,33.0,,115244.0,,3536.0,14.0,3365.0,0.0,33.0,160.0,86930.0
2021-03-17,Imperial,County,191649.0,0.0,27168.0,0.0,691.0,,255784.0,,31028.0,25.0,27168.0,2.0,691.0,114.0,162844.0
2021-03-17,Inyo,County,18453.0,0.0,1351.0,0.0,35.0,,16491.0,,1139.0,5.0,1351.0,0.0,35.0,15.0,14027.0
2021-03-17,Kern,County,927251.0,0.0,93392.0,0.0,1149.0,,883038.0,,106241.0,52.0,93392.0,5.0,1149.0,1378.0,675826.0
2021-03-17,Kings,County,156444.0,0.0,22336.0,0.0,233.0,,311380.0,,25861.0,16.0,22336.0,0.0,233.0,206.0,147073.0
2021-03-17,Lake,County,64871.0,0.0,3251.0,0.0,43.0,,58879.0,,3781.0,5.0,3251.0,0.0,43.0,157.0,48562.0
2021-03-17,Lassen,County,30065.0,0.0,5125.0,0.0,1.0,,113214.0,,5872.0,-1.0,5125.0,0.0,1.0,22.0,43681.0
2021-03-17,Los Angeles,County,10257557.0,0.0,1173416.0,0.0,22602.0,,16777221.0,,1500314.0,740.0,1173416.0,75.0,22602.0,61324.0,23405093.0
2021-03-17,Madera,County,160089.0,0.0,15835.0,0.0,214.0,,209321.0,,17816.0,13.0,15835.0,0.0,214.0,170.0,117707.0
2021-03-17,Marin,County,260800.0,0.0,13428.0,0.0,218.0,,432021.0,,14840.0,9.0,13428.0,0.0,218.0,473.0,275177.0
2021-03-17,Mariposa,County,17795.0,0.0,379.0,0.0,5.0,,18860.0,,421.0,0.0,379.0,0.0,5.0,12.0,7924.0
2021-03-17,Mendocino,County,88439.0,0.0,3625.0,0.0,44.0,,88349.0,,3992.0,2.0,3625.0,0.0,44.0,65.0,57311.0
2021-03-17,Merced,County,287420.0,0.0,29250.0,0.0,408.0,,305764.0,,30886.0,52.0,29250.0,1.0,408.0,608.0,217720.0
2021-03-17,Modoc,County,9475.0,0.0,341.0,0.0,3.0,,5353.0,,158.0,0.0,341.0,0.0,3.0,4.0,3605.0
2021-03-17,Mono,County,13961.0,0.0,1212.0,0.0,3.0,,14655.0,,1312.0,5.0,1212.0,0.0,3.0,3.0,12736.0
2021-03-17,Monterey,County,448732.0,0.0,42061.0,0.0,334.0,,513891.0,,47238.0,38.0,42061.0,0.0,334.0,387.0,348372.0
2021-03-17,Napa,County,139652.0,0.0,9219.0,0.0,76.0,,228027.0,,9976.0,10.0,9219.0,1.0,76.0,235.0,144521.0
