date,area,area_type,population,cases,cumulative_cases,deaths,cumulative_deaths,total_tests,cumulative_total_tests,positive_tests,cumulative_positive_tests,reported_cases,cumulative_reported_cases,reported_deaths,cumulative_reported_deaths,reported_tests,cumulative_reported_tests
2020-12-10,El Dorado,County,193098.0,137.0,4464.0,2.0,35.0,1043.0,87863.0,121.0,4025.0,108.0,3557.0,1.0,9.0,487.0,74050.0
2020-12-10,Fresno,County,1032227.0,1036.0,53509.0,2.0,844.0,7877.0,582582.0,1170.0,60597.0,507.0,42461.0,7.0,540.0,2758.0,484628.0
2020-12-10,Glenn,County,29348.0,14.0,1237.0,0.0,10.0,102.0,13564.0,14.0,1201.0,19.0,1126.0,0.0,8.0,61.0,11096.0
2020-12-10,Humboldt,County,134098.0,32.0,1349.0,1.0,22.0,833.0,66054.0,35.0,1314.0,54.0,1140.0,-1.0,9.0,260.0,57589.0
2020-12-10,Imperial,County,191649.0,248.0,20005.0,7.0,504.0,2540.0,162451.0,261.0,22904.0,576.0,18333.0,2.0,370.0,538.0,122472.0
2020-12-10,Inyo,County,18453.0,14.0,442.0,0.0,24.0,118.0,8894.0,14.0,374.0,9.0,365.0,0.0,15.0,43.0,7533.0
2020-12-10,Kern,County,927251.0,1127.0,52160.0,13.0,660.0,7482.0,521802.0,1299.0,58438.0,797.0,47176.0,5.0,499.0,4161.0,384209.0
2020-12-10,Kings,County,156444.0,144.0,13790.0,2.0,130.0,1557.0,182008.0,160.0,15366.0,277.0,12993.0,0.0,92.0,602.0,105424.0
2020-12-10,Lake,County,64871.0,28.0,1382.0,0.0,22.0,530.0,34050.0,31.0,1557.0,9.0,1167.0,1.0,21.0,331.0,28905.0
2020-12-10,Lassen,County,30065.0,67.0,3375.0,0.0,1.0,413.0,67602.0,76.0,3909.0,433.0,2764.0,0.0,0.0,197.0,31660.0
2020-12-10,Los Angeles,County,10257557.0,13276.0,538746.0,237.0,11130.0,114002.0,9565262.0,16093.0,666628.0,12383.0,480354.0,74.0,8149.0,122769.0,10370250.0
2020-12-10,Madera,County,160089.0,111.0,8340.0,1.0,152.0,792.0,113756.0,107.0,9194.0,229.0,7445.0,0.0,59.0,525.0,77334.0
2020-12-10,Marin,County,260800.0,60.0,8576.0,0.0,160.0,2442.0,251954.0,69.0,9288.0,63.0,8245.0,2.0,140.0,1023.0,181135.0
2020-12-10,Mariposa,County,17795.0,2.0,184.0,0.0,3.0,45.0,11813.0,2.0,177.0,6.0,160.0,0.0,3.0,21.0,6173.0
2020-12-10,Mendocino,County,88439.0,26.0,1899.0,0.0,30.0,528.0,55085.0,38.0,2054.0,45.0,1748.0,0.0,24.0,197.0,43796.0
2020-12-10,Merced,County,287420.0,239.0,15260.0,0.0,251.0,2824.0,158412.0,283.0,15566.0,168.0,13756.0,3.0,186.0,1089.0,121343.0
2020-12-10,Modoc,County,9475.0,5.0,184.0,0.0,0.0,17.0,3227.0,0.0,95.0,19.0,165.0,0.0,0.0,8.0,2531.0
2020-12-10,Mono,County,13961.0,17.0,699.0,0.0,3.0,156.0,9746.0,19.0,761.0,0.0,601.0,0.0,3.0,66.0,8463.0
2020-12-10,Monterey,County,448732.0,406.0,20973.0,4.0,199.0,4022.0,299162.0,491.0,23206.0,375.0,18266.0,2.0,145.0,1439.0,216143.0
2020-12-10,Napa,County,139652.0,89.0,4480.0,1.0,33.0,1296.0,131300.0,108.0,4636.0,116.0,3974.0,1.0,22.0,693.0,95367.0
2020-12-10,Nevada,County,98710.0,53.0,2204.0,1.0,57.0,586.0,54494.0,55.0,1958.0,55.0,1919.0,0.0,10.0,250.0,40126.0
2020-12-10,Orange,County,3228519.0,3067.0,111680.0,42.0,2345.0,22001.0,1708535.0,3393.0,129933.0,1534.0,95297.0,22.0,1651.0,12747.0,1387663.0
2020-12-10,Out of state,County,,,,,,,,,,,,,,1020.0,138420.0
2020-12-10,Placer,County,400434.0,273.0,10495.0,8.0,160.0,2057.0,192689.0,264.0,10964.0,318.0,8906.0,5.0,90.0,1180.0,154520.0
2020-12-10,Plumas,County,18997.0,8.0,348.0,0.0,3.0,101.0,9363.0,11.0,319.0,10.0,281.0,0.0,0.0,59.0,7870.0
2020-12-10,Riverside,County,2468145.0,3616.0,128407.0,40.0,2211.0,20555.0,1336369.0,4328.0,143330.0,2418.0,112794.0,9.0,1552.0,8678.0,1053757.0
2020-12-10,Sacramento,County,1567975.0,1050.0,51714.0,21.0,978.0,9520.0,853290.0,1120.0,55371.0,1187.0,46471.0,5.0,664.0,5233.0,683647.0
2020-12-10,San Benito,County,64022.0,77.0,2573.0,1.0,28.0,433.0,37695.0,73.0,2803.0,51.0,2268.0,0.0,19.0,136.0,30493.0
2020-12-10,San Bernardino,County,2217398.0,4369.0,139899.0,48.0,2343.0,22711.0,1350922.0,4962.0,162742.0,5670.0,120186.0,1.0,1306.0,11119.0,1099895.0
2020-12-10,San Diego,County,3370418.0,2973.0,113557.0,30.0,1621.0,22953.0,1758668.0,2883.0,102801.0,2050.0,99601.0,11.0,1114.0,16807.0,1582311.0
2020-12-10,San Francisco,County,892280.0,300.0,19305.0,4.0,222.0,10330.0,1037251.0,373.0,25286.0,317.0,17945.0,1.0,164.0,4174.0,789044.0
2020-12-10,San Joaquin,County,782545.0,802.0,35406.0,11.0,728.0,5696.0,443678.0,939.0,40967.0,689.0,31228.0,3.0,534.0,3323.0,324242.0
2020-12-10,San Luis Obispo,County,278862.0,220.0,8175.0,2.0,83.0,1978.0,231140.0,224.0,8527.0,140.0,7245.0,2.0,49.0,765.0,149459.0
2020-12-10,San Mateo,County,778001.0,476.0,18624.0,2.0,213.0,7896.0,611825.0,506.0,24406.0,279.0,16701.0,2.0,177.0,3469.0,422045.0
2020-12-10,Santa Barbara,County,456373.0,200.0,14133.0,3.0,188.0,2848.0,289251.0,218.0,15410.0,158.0,12788.0,1.0,143.0,1263.0,212484.0
2020-12-10,Santa Clara,County,1967585.0,1144.0,51346.0,15.0,946.0,20154.0,1722407.0,1486.0,56658.0,1027.0,43939.0,2.0,491.0,8862.0,1231983.0
2020-12-10,Santa Cruz,County,273999.0,151.0,6507.0,2.0,100.0,2364.0,173213.0,167.0,6443.0,118.0,5645.0,1.0,48.0,1122.0,125016.0
2020-12-10,Shasta,County,177925.0,64.0,7068.0,0.0,71.0,822.0,100935.0,62.0,5280.0,207.0,6312.0,1.0,53.0,359.0,67567.0
2020-12-10,Sierra,County,3115.0,0.0,23.0,0.0,0.0,11.0,1482.0,0.0,20.0,0.0,18.0,0.0,0.0,4.0,847.0
2020-12-10,Siskiyou,County,43956.0,10.0,822.0,0.0,4.0,129.0,19882.0,14.0,885.0,-1.0,712.0,0.0,2.0,117.0,16287.0
2020-12-10,Solano,County,444255.0,349.0,14150.0,1.0,103.0,3149.0,302613.0,323.0,14290.0,155.0,12017.0,0.0,90.0,1222.0,226162.0
2020-12-10,Sonoma,County,496668.0,274.0,15563.0,5.0,187.0,3561.0,348160.0,314.0,16792.0,288.0,14282.0,3.0,167.0,1499.0,272635.0
2020-12-10,Stanislaus,County,562303.0,495.0,28198.0,9.0,455.0,3885.0,293091.0,556.0,31539.0,425.0,25582.0,1.0,464.0,2433.0,246877.0
2020-12-10,Sutter,County,105747.0,110.0,5106.0,1.0,58.0,561.0,51575.0,137.0,5557.0,110.0,4528.0,3.0,27.0,379.0,39819.0
2020-12-10,Tehama,County,65885.0,38.0,2397.0,0.0,16.0,340.0,32870.0,32.0,2277.0,88.0,2190.0,0.0,9.0,117.0,27119.0
2020-12-10,Trinity,County,13354.0,6.0,233.0,0.0,3.0,86.0,5567.0,7.0,227.0,3.0,202.0,1.0,1.0,87.0,7034.0
2020-12-10,Tulare,County,484423.0,589.0,26981.0,18.0,473.0,3366.0,281227.0,658.0,31292.0,382.0,24506.0,3.0,337.0,2633.0,214869.0
2020-12-10,Tuolumne,County,52351.0,41.0,1722.0,1.0,29.0,439.0,50143.0,46.0,2058.0,132.0,1451.0,0.0,8.0,115.0,27459.0
2020-12-10,Unknown,County,,0.0,6.0,0.0,0.0,,,,,-3.0,8.0,0.0,0.0,2156.0,492154.0
2020-12-10,Ventura,County,852747.0,855.0,28194.0,1.0,315.0,8291.0,572671.0,1031.0,33376.0,245.0,24075.0,1.0,202.0,6761.0,526152.0
2020-12-10,Yolo,County,223612.0,129.0,6689.0,0.0,133.0,955.0,116784.0,130.0,6929.0,136.0,5896.0,0.0,95.0,678.0,98006.0
2020-12-10,Yuba,County,79290.0,68.0,2906.0,4.0,19.0,433.0,35103.0,73.0,3219.0,91.0,2604.0,0.0,10.0,232.0,29658.0
2020-12-09,Alameda,County,1685886.0,897.0,39386.0,12.0,640.0,14229.0,1139815.0,1084.0,45281.0,674.0,35047.0,1.0,470.0,8195.0,880779.0
2020-12-09,Alpine,County,1117.0,1.0,64.0,0.0,0.0,29.0,1276.0,0.0,24.0,5.0,58.0,0.0,0.0,3.0,543.0
2020-12-09,Amador,County,38531.0,288.0,1648.0,1.0,26.0,1602.0,45519.0,304.0,1861.0,78.0,1121.0,2.0,19.0,451.0,18192.0
2020-12-09,Butte,County,217769.0,160.0,5440.0,4.0,121.0,1340.0,115215.0,192.0,5251.0,82.0,4733.0,0.0,70.0,786.0,93775.0
2020-12-09,Calaveras,County,44289.0,25.0,749.0,1.0,31.0,233.0,21094.0,29.0,811.0,13.0,670.0,0.0,21.0,140.0,14687.0
2020-12-09,California,State,40129160.0,41680.0,1646500.0,516.0,28981.0,369200.0,28095543.0,48156.0,1886361.0,29677.0,1450235.0,203.0,20458.0,282261.0,25543968.0
2020-12-09,Colusa,County,22593.0,18.0,1020.0,0.0,8.0,97.0,9274.0,26.0,951.0,21.0,896.0,1.0,7.0,72.0,7447.0
2020-12-09,Contra Costa,County,1160099.0,703.0,31041.0,7.0,387.0,8482.0,709900.0,750.0,33415.0,382.0,28308.0,3.0,273.0,5537.0,592028.0
2020-12-09,Del Norte,County,27558.0,14.0,552.0,0.0,3.0,348.0,30800.0,15.0,594.0,16.0,481.0,0.0,2.0,133.0,17063.0
2020-12-09,El Dorado,County,193098.0,124.0,4327.0,0.0,33.0,1112.0,86820.0,139.0,3904.0,153.0,3449.0,0.0,8.0,806.0,73563.0
2020-12-09,Fresno,County,1032227.0,1264.0,52473.0,16.0,842.0,8702.0,574705.0,1460.0,59427.0,380.0,41954.0,4.0,533.0,3954.0,481870.0
2020-12-09,Glenn,County,29348.0,19.0,1223.0,0.0,10.0,221.0,13462.0,29.0,1187.0,13.0,1107.0,0.0,8.0,97.0,11035.0
2020-12-09,Humboldt,County,134098.0,27.0,1317.0,0.0,21.0,740.0,65221.0,38.0,1279.0,27.0,1086.0,0.0,10.0,331.0,57329.0
2020-12-09,Imperial,County,191649.0,519.0,19757.0,11.0,497.0,2246.0,159911.0,608.0,22643.0,189.0,17757.0,5.0,368.0,842.0,121934.0
2020-12-09,Inyo,County,18453.0,23.0,428.0,3.0,24.0,82.0,8776.0,14.0,360.0,23.0,356.0,0.0,15.0,61.0,7490.0
2020-12-09,Kern,County,927251.0,1286.0,51033.0,6.0,647.0,7258.0,514320.0,1413.0,57139.0,1263.0,46379.0,7.0,494.0,4517.0,380048.0
2020-12-09,Kings,County,156444.0,155.0,13646.0,2.0,128.0,2647.0,180451.0,170.0,15206.0,93.0,12716.0,2.0,92.0,914.0,104822.0
2020-12-09,Lake,County,64871.0,43.0,1354.0,0.0,22.0,526.0,33520.0,40.0,1526.0,31.0,1158.0,0.0,20.0,307.0,28574.0
2020-12-09,Lassen,County,30065.0,164.0,3308.0,0.0,1.0,1020.0,67189.0,175.0,3833.0,166.0,2331.0,0.0,0.0,214.0,31463.0
2020-12-09,Los Angeles,County,10257557.0,12625.0,525470.0,195.0,10893.0,115316.0,9451260.0,15370.0,650535.0,8233.0,467971.0,71.0,8075.0,132792.0,10247481.0
2020-12-09,Madera,County,160089.0,133.0,8229.0,0.0,151.0,1133.0,112964.0,161.0,9087.0,134.0,7216.0,0.0,59.0,605.0,76809.0
2020-12-09,Marin,County,260800.0,84.0,8516.0,1.0,160.0,2979.0,249512.0,101.0,9219.0,83.0,8182.0,1.0,138.0,1375.0,180112.0
2020-12-09,Mariposa,County,17795.0,4.0,182.0,0.0,3.0,175.0,11768.0,4.0,175.0,4.0,154.0,1.0,3.0,28.0,6152.0
2020-12-09,Mendocino,County,88439.0,42.0,1873.0,0.0,30.0,536.0,54557.0,49.0,2016.0,37.0,1703.0,1.0,24.0,158.0,43599.0
2020-12-09,Merced,County,287420.0,305.0,15021.0,5.0,251.0,1961.0,155588.0,315.0,15283.0,208.0,13588.0,2.0,183.0,1506.0,120254.0
2020-12-09,Modoc,County,9475.0,8.0,179.0,0.0,0.0,24.0,3210.0,1.0,95.0,8.0,146.0,0.0,0.0,15.0,2523.0
2020-12-09,Mono,County,13961.0,30.0,682.0,0.0,3.0,177.0,9590.0,39.0,742.0,4.0,601.0,0.0,3.0,98.0,8397.0
2020-12-09,Monterey,County,448732.0,562.0,20567.0,5.0,195.0,4149.0,295140.0,609.0,22715.0,139.0,17891.0,9.0,143.0,1655.0,214704.0
2020-12-09,Napa,County,139652.0,94.0,4391.0,1.0,32.0,1726.0,130004.0,91.0,4528.0,80.0,3858.0,-1.0,21.0,965.0,94674.0
2020-12-09,Nevada,County,98710.0,54.0,2151.0,2.0,56.0,655.0,53908.0,52.0,1903.0,55.0,1864.0,-1.0,10.0,320.0,39876.0
2020-12-09,Orange,County,3228519.0,3219.0,108613.0,35.0,2303.0,25899.0,1686534.0,3816.0,126540.0,2357.0,93763.0,0.0,1629.0,14566.0,1374916.0
2020-12-09,Out of state,County,,,,,,,,,,,,,,1009.0,137400.0
2020-12-09,Placer,County,400434.0,272.0,10222.0,3.0,152.0,2105.0,190632.0,273.0,10700.0,364.0,8588.0,3.0,85.0,1747.0,153340.0
2020-12-09,Plumas,County,18997.0,10.0,340.0,0.0,3.0,225.0,9262.0,10.0,308.0,13.0,271.0,0.0,0.0,71.0,7811.0
2020-12-09,Riverside,County,2468145.0,3260.0,124791.0,36.0,2171.0,19383.0,1315814.0,3938.0,139002.0,2756.0,110376.0,29.0,1543.0,12328.0,1045079.0
2020-12-09,Sacramento,County,1567975.0,1077.0,50664.0,12.0,957.0,10046.0,843770.0,1140.0,54251.0,649.0,45284.0,10.0,659.0,8164.0,678414.0
2020-12-09,San Benito,County,64022.0,53.0,2496.0,0.0,27.0,412.0,37262.0,60.0,2730.0,37.0,2217.0,1.0,19.0,150.0,30357.0
2020-12-09,San Bernardino,County,2217398.0,4341.0,135530.0,45.0,2295.0,22417.0,1328211.0,4861.0,157780.0,3840.0,114516.0,4.0,1305.0,13486.0,1088776.0
2020-12-09,San Diego,County,3370418.0,3402.0,110584.0,41.0,1591.0,26131.0,1735715.0,3365.0,99918.0,2104.0,97551.0,15.0,1103.0,16597.0,1565504.0
2020-12-09,San Francisco,County,892280.0,310.0,19005.0,13.0,218.0,10567.0,1026921.0,335.0,24913.0,244.0,17628.0,1.0,163.0,4384.0,784870.0
2020-12-09,San Joaquin,County,782545.0,886.0,34604.0,11.0,717.0,6212.0,437982.0,984.0,40028.0,314.0,30539.0,1.0,531.0,4193.0,320919.0
2020-12-09,San Luis Obispo,County,278862.0,128.0,7955.0,3.0,81.0,2460.0,229162.0,175.0,8303.0,202.0,7105.0,2.0,47.0,741.0,148694.0
2020-12-09,San Mateo,County,778001.0,430.0,18148.0,1.0,211.0,8450.0,603929.0,485.0,23900.0,117.0,16422.0,0.0,175.0,3928.0,418576.0
2020-12-09,Santa Barbara,County,456373.0,184.0,13933.0,1.0,185.0,2731.0,286403.0,206.0,15192.0,114.0,12630.0,1.0,142.0,1378.0,211221.0
2020-12-09,Santa Clara,County,1967585.0,1294.0,50202.0,16.0,931.0,22714.0,1702253.0,1685.0,55172.0,1603.0,42912.0,5.0,489.0,10391.0,1223121.0
2020-12-09,Santa Cruz,County,273999.0,181.0,6356.0,1.0,98.0,2791.0,170849.0,190.0,6276.0,153.0,5527.0,2.0,47.0,1292.0,123894.0
2020-12-09,Shasta,County,177925.0,109.0,7004.0,1.0,71.0,1278.0,100113.0,96.0,5218.0,159.0,6105.0,2.0,52.0,477.0,67208.0
2020-12-09,Sierra,County,3115.0,1.0,23.0,0.0,0.0,13.0,1471.0,2.0,20.0,0.0,18.0,0.0,0.0,7.0,843.0
2020-12-09,Siskiyou,County,43956.0,12.0,812.0,0.0,4.0,167.0,19753.0,17.0,871.0,9.0,713.0,0.0,2.0,144.0,16170.0
2020-12-09,Solano,County,444255.0,417.0,13801.0,1.0,102.0,4412.0,299464.0,422.0,13967.0,193.0,11862.0,1.0,90.0,2025.0,224940.0
2020-12-09,Sonoma,County,496668.0,265.0,15289.0,4.0,182.0,4087.0,344599.0,308.0,16478.0,393.0,13994.0,0.0,164.0,1912.0,271136.0
2020-12-09,Stanislaus,County,562303.0,484.0,27703.0,5.0,446.0,3489.0,289206.0,566.0,30983.0,364.0,25157.0,2.0,463.0,3242.0,244444.0
2020-12-09,Sutter,County,105747.0,97.0,4996.0,2.0,57.0,571.0,51014.0,138.0,5420.0,76.0,4418.0,0.0,24.0,460.0,39440.0
2020-12-09,Tehama,County,65885.0,80.0,2359.0,0.0,16.0,390.0,32530.0,53.0,2245.0,45.0,2102.0,0.0,9.0,168.0,27002.0
2020-12-09,Trinity,County,13354.0,3.0,227.0,0.0,3.0,137.0,5481.0,4.0,220.0,1.0,199.0,0.0,0.0,135.0,6947.0
2020-12-09,Tulare,County,484423.0,597.0,26392.0,6.0,455.0,3338.0,277861.0,652.0,30634.0,517.0,24124.0,4.0,334.0,1739.0,212236.0
2020-12-09,Tuolumne,County,52351.0,29.0,1681.0,0.0,28.0,996.0,49704.0,55.0,2012.0,55.0,1319.0,1.0,8.0,153.0,27344.0
2020-12-09,Unknown,County,,0.0,6.0,0.0,0.0,,,,,3.0,11.0,0.0,0.0,2297.0,489998.0
2020-12-09,Ventura,County,852747.0,658.0,27339.0,5.0,314.0,6541.0,564380.0,817.0,32345.0,165.0,23830.0,6.0,201.0,7002.0,519391.0
2020-12-09,Yolo,County,223612.0,133.0,6560.0,2.0,133.0,1075.0,115829.0,135.0,6799.0,200.0,5760.0,5.0,95.0,888.0,97328.0
2020-12-09,Yuba,County,79290.0,77.0,2838.0,0.0,15.0,418.0,34670.0,90.0,3146.0,36.0,2513.0,0.0,10.0,310.0,29426.0
2020-12-08,Alameda,County,1685886.0,857.0,38489.0,10.0,628.0,15024.0,1125586.0,1036.0,44197.0,486.0,34373.0,3.0,469.0,6097.0,872584.0
2020-12-08,Alpine,County,1117.0,1.0,63.0,0.0,0.0,12.0,1247.0,0.0,24.0,0.0,53.0,0.0,0.0,3.0,540.0
2020-12-08,Amador,County,38531.0,75.0,1360.0,1.0,25.0,1495.0,43917.0,74.0,1557.0,50.0,1043.0,0.0,17.0,419.0,17741.0
2020-12-08,Butte,County,217769.0,135.0,5280.0,4.0,117.0,1377.0,113875.0,138.0,5059.0,47.0,4651.0,3.0,70.0,672.0,92989.0
2020-12-08,Calaveras,County,44289.0,32.0,724.0,0.0,30.0,256.0,20861.0,32.0,782.0,51.0,657.0,0.0,21.0,121.0,14547.0
2020-12-08,California,State,40129160.0,41054.0,1604820.0,571.0,28465.0,384845.0,27726343.0,47365.0,1838205.0,30851.0,1420558.0,168.0,20255.0,252296.0,25261707.0
2020-12-08,Colusa,County,22593.0,24.0,1002.0,0.0,8.0,226.0,9177.0,28.0,925.0,50.0,875.0,0.0,6.0,79.0,7375.0
2020-12-08,Contra Costa,County,1160099.0,609.0,30338.0,12.0,380.0,8843.0,701418.0,688.0,32665.0,619.0,27926.0,0.0,270.0,3756.0,586491.0
2020-12-08,Del Norte,County,27558.0,12.0,538.0,0.0,3.0,1004.0,30452.0,12.0,579.0,41.0,465.0,0.0,2.0,127.0,16930.0
2020-12-08,El Dorado,County,193098.0,181.0,4203.0,2.0,33.0,1299.0,85708.0,168.0,3765.0,21.0,3296.0,0.0,8.0,696.0,72757.0
2020-12-08,Fresno,County,1032227.0,1460.0,51209.0,13.0,826.0,9749.0,566003.0,1763.0,57967.0,476.0,41574.0,3.0,529.0,3076.0,477916.0
2020-12-08,Glenn,County,29348.0,18.0,1204.0,1.0,10.0,146.0,13241.0,26.0,1158.0,9.0,1094.0,0.0,8.0,122.0,10938.0
2020-12-08,Humboldt,County,134098.0,37.0,1290.0,2.0,21.0,809.0,64481.0,52.0,1241.0,36.0,1059.0,1.0,10.0,317.0,56998.0
2020-12-08,Imperial,County,191649.0,409.0,19238.0,7.0,486.0,3012.0,157665.0,412.0,22035.0,334.0,17568.0,-1.0,363.0,848.0,121092.0
2020-12-08,Inyo,County,18453.0,15.0,405.0,2.0,21.0,183.0,8694.0,12.0,346.0,0.0,333.0,0.0,15.0,63.0,7429.0
2020-12-08,Kern,County,927251.0,1021.0,49747.0,9.0,641.0,7491.0,507062.0,1196.0,55726.0,707.0,45116.0,1.0,487.0,3679.0,375531.0
2020-12-08,Kings,County,156444.0,139.0,13491.0,0.0,126.0,4406.0,177804.0,159.0,15036.0,211.0,12623.0,0.0,90.0,689.0,103908.0
2020-12-08,Lake,County,64871.0,30.0,1311.0,1.0,22.0,419.0,32994.0,31.0,1486.0,37.0,1127.0,0.0,20.0,317.0,28267.0
2020-12-08,Lassen,County,30065.0,107.0,3144.0,0.0,1.0,1337.0,66169.0,109.0,3658.0,-2.0,2165.0,0.0,0.0,289.0,31249.0
2020-12-08,Los Angeles,County,10257557.0,13534.0,512845.0,218.0,10698.0,121644.0,9335944.0,16504.0,635165.0,8686.0,459738.0,67.0,8004.0,125584.0,10114689.0
2020-12-08,Madera,County,160089.0,265.0,8096.0,0.0,151.0,1595.0,111831.0,284.0,8926.0,147.0,7082.0,0.0,59.0,534.0,76204.0
2020-12-08,Marin,County,260800.0,57.0,8432.0,0.0,159.0,2477.0,246533.0,65.0,9118.0,50.0,8099.0,1.0,137.0,953.0,178737.0
2020-12-08,Mariposa,County,17795.0,3.0,178.0,0.0,3.0,199.0,11593.0,7.0,171.0,4.0,150.0,0.0,2.0,28.0,6124.0
2020-12-08,Mendocino,County,88439.0,34.0,1831.0,0.0,30.0,725.0,54021.0,47.0,1967.0,28.0,1666.0,0.0,23.0,145.0,43441.0
2020-12-08,Merced,County,287420.0,362.0,14716.0,4.0,246.0,2800.0,153627.0,384.0,14968.0,130.0,13380.0,2.0,181.0,1308.0,118748.0
2020-12-08,Modoc,County,9475.0,7.0,171.0,0.0,0.0,43.0,3186.0,6.0,94.0,10.0,138.0,0.0,0.0,19.0,2508.0
2020-12-08,Mono,County,13961.0,4.0,652.0,0.0,3.0,104.0,9413.0,8.0,703.0,7.0,597.0,0.0,3.0,99.0,8299.0
2020-12-08,Monterey,County,448732.0,461.0,20005.0,2.0,190.0,4204.0,290991.0,482.0,22106.0,6.0,17752.0,2.0,134.0,1398.0,213049.0
2020-12-08,Napa,County,139652.0,89.0,4297.0,0.0,31.0,1984.0,128278.0,109.0,4437.0,94.0,3778.0,1.0,22.0,671.0,93709.0
2020-12-08,Nevada,County,98710.0,50.0,2097.0,0.0,54.0,580.0,53253.0,51.0,1851.0,32.0,1809.0,0.0,11.0,362.0,39556.0
2020-12-08,Orange,County,3228519.0,3218.0,105394.0,50.0,2268.0,26636.0,1660635.0,3644.0,122724.0,1613.0,91406.0,1.0,1629.0,13489.0,1360350.0
2020-12-08,Out of state,County,,,,,,,,,,,,,,1265.0,136391.0
2020-12-08,Placer,County,400434.0,314.0,9950.0,1.0,149.0,2580.0,188527.0,328.0,10427.0,313.0,8224.0,0.0,82.0,1297.0,151593.0
2020-12-08,Plumas,County,18997.0,11.0,330.0,0.0,3.0,176.0,9037.0,11.0,298.0,2.0,258.0,0.0,0.0,66.0,7740.0
2020-12-08,Riverside,County,2468145.0,3123.0,121531.0,36.0,2135.0,20033.0,1296431.0,3712.0,135064.0,5257.0,107620.0,23.0,1514.0,10896.0,1032751.0
2020-12-08,Sacramento,County,1567975.0,1096.0,49587.0,8.0,945.0,11296.0,833724.0,1167.0,53111.0,1216.0,44635.0,11.0,649.0,5599.0,670250.0
2020-12-08,San Benito,County,64022.0,49.0,2443.0,2.0,27.0,412.0,36850.0,69.0,2670.0,15.0,2180.0,0.0,18.0,134.0,30207.0
2020-12-08,San Bernardino,County,2217398.0,3947.0,131189.0,66.0,2250.0,21442.0,1305794.0,4568.0,152919.0,2515.0,110676.0,6.0,1301.0,10643.0,1075290.0
2020-12-08,San Diego,County,3370418.0,2775.0,107182.0,49.0,1550.0,25857.0,1709584.0,2697.0,96553.0,1276.0,95447.0,26.0,1088.0,14601.0,1548907.0
2020-12-08,San Francisco,County,892280.0,286.0,18695.0,4.0,205.0,10226.0,1016354.0,341.0,24578.0,164.0,17384.0,1.0,162.0,3770.0,780486.0
2020-12-08,San Joaquin,County,782545.0,861.0,33718.0,6.0,706.0,6842.0,431770.0,984.0,39044.0,2037.0,30225.0,0.0,530.0,2689.0,316726.0
2020-12-08,San Luis Obispo,County,278862.0,182.0,7827.0,2.0,78.0,2470.0,226702.0,228.0,8128.0,121.0,6903.0,0.0,45.0,963.0,147953.0
2020-12-08,San Mateo,County,778001.0,453.0,17718.0,0.0,210.0,8185.0,595479.0,498.0,23415.0,276.0,16305.0,0.0,175.0,3439.0,414648.0
2020-12-08,Santa Barbara,County,456373.0,242.0,13749.0,1.0,184.0,3604.0,283672.0,251.0,14986.0,154.0,12516.0,0.0,141.0,1365.0,209843.0
2020-12-08,Santa Clara,County,1967585.0,1360.0,48908.0,29.0,915.0,21655.0,1679539.0,1629.0,53487.0,688.0,41309.0,0.0,484.0,8976.0,1212730.0
2020-12-08,Santa Cruz,County,273999.0,161.0,6175.0,1.0,97.0,2512.0,168058.0,167.0,6086.0,222.0,5374.0,4.0,45.0,1178.0,122602.0
2020-12-08,Shasta,County,177925.0,124.0,6895.0,1.0,70.0,1038.0,98835.0,103.0,5122.0,204.0,5946.0,0.0,50.0,361.0,66731.0
2020-12-08,Sierra,County,3115.0,1.0,22.0,0.0,0.0,25.0,1458.0,0.0,18.0,0.0,18.0,0.0,0.0,9.0,836.0
2020-12-08,Siskiyou,County,43956.0,28.0,800.0,0.0,4.0,155.0,19586.0,34.0,854.0,52.0,704.0,0.0,2.0,100.0,16026.0
2020-12-08,Solano,County,444255.0,344.0,13384.0,0.0,101.0,4481.0,295052.0,366.0,13545.0,315.0,11669.0,0.0,89.0,1156.0,222915.0
2020-12-08,Sonoma,County,496668.0,289.0,15024.0,2.0,178.0,4514.0,340512.0,305.0,16170.0,225.0,13601.0,0.0,164.0,1113.0,269224.0
2020-12-08,Stanislaus,County,562303.0,557.0,27219.0,4.0,441.0,4243.0,285717.0,622.0,30417.0,314.0,24793.0,7.0,461.0,2570.0,241202.0
2020-12-08,Sutter,County,105747.0,133.0,4899.0,4.0,55.0,806.0,50443.0,165.0,5282.0,236.0,4342.0,0.0,24.0,446.0,38980.0
2020-12-08,Tehama,County,65885.0,54.0,2279.0,0.0,16.0,349.0,32140.0,52.0,2192.0,27.0,2057.0,0.0,9.0,191.0,26834.0
2020-12-08,Trinity,County,13354.0,3.0,224.0,0.0,3.0,30.0,5344.0,3.0,216.0,4.0,198.0,0.0,0.0,137.0,6812.0
2020-12-08,Tulare,County,484423.0,513.0,25795.0,8.0,449.0,3939.0,274523.0,563.0,29982.0,847.0,23607.0,2.0,330.0,1214.0,210497.0
2020-12-08,Tuolumne,County,52351.0,84.0,1652.0,0.0,28.0,690.0,48708.0,113.0,1957.0,8.0,1264.0,0.0,7.0,124.0,27191.0
2020-12-08,Unknown,County,,0.0,6.0,0.0,0.0,,,,,0.0,8.0,0.0,0.0,2371.0,487701.0
